n,budget,pool_cap,optimal_dynamic,optimal_static,optimal_static_nonoverlap,static_nonoverlap_greedy,exact_joint_greedy,marginal_product_greedy,adaptivity_gap,static_fraction_dynamic,static_nonoverlap_fraction_dynamic,static_greedy_fraction_dynamic,exact_joint_fraction_dynamic,marginal_product_fraction_dynamic,exact_minus_marginal,root_choices_differ,dynamic_states,exact_greedy_states,marginal_greedy_states,runtime_seconds,setting,instance,seed,utilities,health_probabilities
4,2,4,1.5545145174447,1.5390814744942813,1.5390814744942813,1.5390814744942813,1.5390814744942816,1.5390814744942816,1.0100274372774771,0.9900721139769172,0.9900721139769172,0.9900721139769172,0.9900721139769173,0.9900721139769173,0.0,0,162,7,7,0.0004913331940770149,random_n4_b2_g4,29,20260830,"(1.5762739142054094, 0.40086362984333146, 0.17131519880289484, 1.7248060596219843)","(0.8231164086406495, 0.6027599742436578, 0.6539163161042327, 0.06797848872961135)"
4,2,4,1.2516499042792837,1.2516499042792837,1.2516499042792837,1.2516499042792837,1.2516499042792837,1.2516499042792837,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,162,7,7,0.000491041224449873,random_n4_b2_g4,30,20260830,"(1.8553547276798847, 0.38860794945785804, 0.33080642996294146, 0.2797900344789017)","(0.5588620175906189, 0.40138808240645835, 0.30327592101632417, 0.7675849435516787)"
4,2,4,0.7223169370912154,0.7223169370912154,0.7223169370912154,0.7223169370912154,0.7223169370912152,0.7223169370912152,1.0,1.0,1.0,1.0,0.9999999999999999,0.9999999999999999,0.0,0,162,7,7,0.0005983752198517323,random_n4_b2_g4,31,20260830,"(0.23618519378007916, 0.9707274618222677, 1.0254070764623753, 1.2298033228471132)","(0.7349840541580962, 0.06500015933807378, 0.535128534247785, 0.12866418651017347)"
4,2,4,0.9612205882782091,0.9612205882782089,0.9612205882782089,0.9612205882782089,0.9612205882782091,0.9612205882782091,1.0000000000000002,0.9999999999999998,0.9999999999999998,0.9999999999999998,1.0,1.0,0.0,0,162,7,7,0.0004827501252293587,random_n4_b2_g4,32,20260830,"(0.6197294923894038, 1.8829596951441612, 0.36465804071603236, 0.3787345627463063)","(0.2919196932587942, 0.39017117196924034, 0.6212505195501312, 0.37631314053811776)"
4,2,4,0.9251754203113413,0.9251754203113413,0.9251754203113413,0.9251754203113413,0.9251754203113414,0.9251754203113414,1.0,1.0,1.0,1.0,1.0000000000000002,1.0000000000000002,0.0,0,162,7,7,0.0004840828478336334,random_n4_b2_g4,33,20260830,"(0.32432400155384933, 0.11842738141442712, 1.328976823847438, 0.14100188355973922)","(0.35806290726965806, 0.48982337093249534, 0.6087743675434604, 0.6100785118831386)"
4,2,4,2.3302616906021063,2.259271635122303,2.2257055214478734,2.074915320367,2.3302616906021063,2.3302616906021063,1.0314216557124882,0.9695355865969454,0.9551311470398772,0.8904215903025344,1.0,1.0,0.0,0,162,7,7,0.00047391699627041817,random_n4_b2_g4,34,20260830,"(0.47418189517805814, 0.22593859825565824, 1.2202645719343657, 1.4833968633907604)","(0.6221560854783426, 0.9217423390039312, 0.9252696933662327, 0.6689351627151284)"
4,2,4,1.1965952872977597,1.1965952872977597,1.1965952872977597,1.1160188420427242,1.171297587887614,1.171297587887614,1.0,1.0,1.0,0.9326619065690964,0.9788586001644091,0.9788586001644091,0.0,0,162,7,7,0.00047570932656526566,random_n4_b2_g4,35,20260830,"(0.2644963527111969, 0.17261273302886054, 0.1837784070878878, 1.2684417376937687)","(0.8933980486275247, 0.7065032173650819, 0.10091510698573708, 0.725848882075536)"
4,2,4,0.8802911942948206,0.8727085660135705,0.8727085660135705,0.8727085660135705,0.8727085660135705,0.8727085660135705,1.0086886144774385,0.9913862272729828,0.9913862272729828,0.9913862272729828,0.9913862272729828,0.9913862272729828,0.0,0,162,7,7,0.00047725019976496696,random_n4_b2_g4,36,20260830,"(0.1937092182863817, 0.521586399463563, 1.0789829359541012, 0.1631217984047436)","(0.41815088993056737, 0.09314264254580501, 0.7227612559349532, 0.5692770984573736)"
4,2,4,1.1699638727764379,1.1699638727764379,1.1699638727764379,0.887115244092946,1.1636002225940543,1.1636002225940543,1.0,1.0,1.0,0.7582415703039919,0.9945608147991083,0.9945608147991083,0.0,0,162,7,7,0.00046850042417645454,random_n4_b2_g4,37,20260830,"(0.435145293855224, 0.7975325282890825, 0.42225078511806824, 1.0844988803063211)","(0.11186052637334509, 0.8574370245698878, 0.38782347694613806, 0.44825307204119735)"
4,2,4,0.46615767643402006,0.46615767643401995,0.46615767643402006,0.46615767643402006,0.46615767643402006,0.46615767643402006,1.0000000000000002,0.9999999999999998,1.0,1.0,1.0,1.0,0.0,0,162,7,7,0.000453166663646698,random_n4_b2_g4,38,20260830,"(0.18647533555462617, 0.9142225809242572, 0.3062590118352058, 0.11028484082468151)","(0.8703822315632442, 0.12584204647608205, 0.8186917042080756, 0.30438107002220033)"
4,2,4,1.31634785785975,1.3163478578597498,1.3113885382625816,1.2919834364494673,1.31634785785975,1.31634785785975,1.0000000000000002,0.9999999999999998,0.9962325159208054,0.9814908944738233,1.0,1.0,0.0,0,162,7,7,0.00045895809307694435,random_n4_b2_g4,39,20260830,"(0.19554741958074234, 0.5288765757068282, 1.3177364902847386, 0.9115361146803462)","(0.949082954213085, 0.1077727663077866, 0.5265498297586345, 0.5877284858176437)"
4,2,4,0.448845306478433,0.44884530647843296,0.4465831438575316,0.4465831438575316,0.44884530647843296,0.44884530647843296,1.0000000000000002,0.9999999999999999,0.994960039487435,0.994960039487435,0.9999999999999999,0.9999999999999999,0.0,0,162,7,7,0.0004577501676976681,random_n4_b2_g4,40,20260830,"(0.21542434599810362, 0.3178738194299449, 0.29238899722027434, 0.1615034716022635)","(0.9049539645872997, 0.2255907690313786, 0.5515986802599555, 0.8364110699749171)"
4,2,4,1.8768812411345468,1.8768812411345468,1.8768812411345468,1.5330167645731985,1.8349135326132857,1.8349135326132857,1.0,1.0,1.0,0.8167894329033374,0.9776396568938521,0.9776396568938521,0.0,0,162,7,7,0.0004632920026779175,random_n4_b2_g4,41,20260830,"(1.8052515203029917, 0.32093484032188274, 0.4429942908243114, 0.9746107178909996)","(0.5078990466732515, 0.8522107683838067, 0.4690714516505623, 0.8695000018997928)"
4,2,4,1.3225730088045171,1.3225730088045171,1.3225730088045171,1.0675760888446657,1.265261518253607,1.265261518253607,1.0,1.0,1.0,0.8071963375463522,0.956666671579277,0.956666671579277,0.0,0,162,7,7,0.00045791640877723694,random_n4_b2_g4,42,20260830,"(0.33941961775004564, 0.5225196934651261, 1.2676091573049926, 0.6639944030183176)","(0.22065690648200764, 0.15416627328051868, 0.5886701066011186, 0.8680335081519245)"
